令和3年度さいたま市下水処理センター放射性物質等の測定結果,,,,
1.放射性物質の測定結果,,,,
(1)放流水,,,,
,単位(ベクレル/キログラム),,,
採取日,セシウム134,セシウム137,,
令和3年4月15日,不検出,不検出,,
令和3年5月20日,不検出,不検出,,
令和3年6月17日,不検出,不検出,,
令和3年7月15日,不検出,不検出,,
令和3年8月19日,不検出,不検出,,
令和3年9月16日,不検出,不検出,,
令和3年10月21日,不検出,不検出,,
令和3年11月18日,不検出,不検出,,
令和3年12月16日,不検出,不検出,,
令和4年1月20日,不検出,不検出,,
令和4年2月17日,不検出,不検出,,
令和4年3月17日,不検出,不検出,,
,,,,
2.空間放射線量の測定結果,,,,
(1)測定場所敷地境界線内側の東西南北,,,,
(2)測定高さ地上1m,,,,
,,,単位(マイクロシーベルト/時),
測定日,東,北,西,南
令和3年4月7日,0.06,0.05,0.04,0.05
令和3年4月15日,0.06,0.05,0.05,0.06
令和3年4月21日,0.06,0.05,0.05,0.06
令和3年4月28日,0.06,0.05,0.05,0.06
令和3年5月7日,0.06,0.05,0.05,0.06
令和3年5月12日,0.06,0.05,0.05,0.06
令和3年5月19日,0.06,0.05,0.05,0.06
令和3年5月26日,0.06,0.05,0.05,0.06
令和3年6月2日,0.06,0.05,0.05,0.06
令和3年6月9日,0.06,0.05,0.05,0.06
令和3年6月16日,0.06,0.05,0.05,0.06
令和3年6月23日,0.06,0.05,0.05,0.06
令和3年6月30日,0.06,0.05,0.05,0.06
令和3年7月7日,0.06,0.05,0.05,0.06
令和3年7月14日,0.06,0.05,0.05,0.06
令和3年7月21日,0.06,0.05,0.05,0.06
令和3年7月28日,0.06,0.05,0.05,0.06
令和3年8月4日,0.06,0.05,0.05,0.06
令和3年8月11日,0.06,0.05,0.05,0.06
令和3年8月18日,0.06,0.05,0.05,0.06
令和3年8月25日,0.06,0.05,0.05,0.06
令和3年9月1日,0.06,0.05,0.05,0.06
令和3年9月8日,0.06,0.05,0.05,0.06
令和3年9月15日,0.06,0.05,0.05,0.06
令和3年9月22日,0.06,0.05,0.05,0.06
令和3年9月29日,0.06,0.05,0.05,0.06
令和3年10月6日,0.06,0.05,0.05,0.06
令和3年10月14日,0.06,0.05,0.05,0.06
令和3年10月20日,0.06,0.05,0.05,0.06
令和3年10月27日,0.06,0.05,0.05,0.06
令和3年11月4日,0.06,0.05,0.05,0.06
令和3年11月10日,0.06,0.05,0.05,0.06
令和3年11月17日,0.06,0.05,0.05,0.06
令和3年11月25日,0.06,0.05,0.05,0.06
令和3年12月1日,0.06,0.05,0.05,0.06
令和3年12月9日,0.06,0.05,0.05,0.06
令和3年12月15日,0.06,0.05,0.05,0.06
令和3年12月22日,0.06,0.05,0.05,0.06
令和3年12月28日,0.06,0.05,0.05,0.06
令和4年1月6日,0.06,0.05,0.05,0.06
令和4年1月13日,0.06,0.05,0.05,0.06
令和4年1月19日,0.06,0.05,0.05,0.06
令和4年1月26日,0.06,0.05,0.05,0.06
令和4年2月2日,0.06,0.05,0.05,0.06
令和4年2月9日,0.06,0.05,0.05,0.06
令和4年2月16日,0.06,0.05,0.05,0.06
令和4年2月22日,0.06,0.05,0.05,0.06
令和4年3月2日,0.06,0.05,0.05,0.06
令和4年3月9日,0.06,0.05,0.05,0.06
令和4年3月16日,0.06,0.05,0.05,0.06
令和4年3月24日,0.06,0.05,0.05,0.06
令和4年3月31日,0.06,0.05,0.05,0.06
